tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_overall_elo,loser_overall_elo,overall_elo_difference,winner_grass_elo,loser_grass_elo,grass_elo_difference,winner_grass_win_pct,loser_grass_win_pct,winner_recent_form,loser_recent_form,higher_overall_elo_won,higher_grass_elo_won,winner_grass_first_serve_in_pct,winner_grass_first_serve_won_pct,winner_grass_second_serve_won_pct,winner_grass_ace_rate,loser_grass_first_serve_in_pct,loser_grass_first_serve_won_pct,loser_grass_second_serve_won_pct,loser_grass_ace_rate
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,181.0,207518.0,25.0,,Lorenzo Musetti,R,185.0,ITA,22.3,209260.0,,,Luciano Darderi,R,183.0,ITA,22.3,6-4 4-6 6-7(5) 6-4 6-4,5.0,R64,227.0,13.0,4.0,141.0,105.0,83.0,22.0,26.0,4.0,7.0,10.0,7.0,191.0,121.0,83.0,34.0,26.0,11.0,16.0,25.0,1620.0,37.0,1236.0,2024.0,,,,,,,,,,,,,0.6501,0.7428,0.5469,0.0612,0.5798,0.7456,0.4849,0.0894
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,180.0,207681.0,,,Francisco Comesana,R,178.0,ARG,23.7,200443.0,,,Adam Walton,R,183.0,AUS,25.2,7-5 1-6 6-7(12) 6-1 7-6(8),5.0,R64,248.0,19.0,6.0,169.0,101.0,74.0,39.0,26.0,5.0,9.0,9.0,5.0,172.0,121.0,83.0,28.0,24.0,7.0,11.0,122.0,529.0,101.0,607.0,2024.0,,,,,,,,,,,,,0.6428,0.7177,0.5513,0.0997,0.6156,0.6927,0.5782,0.0441
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,179.0,104926.0,,,Fabio Fognini,R,178.0,ITA,37.1,134770.0,8.0,,Casper Ruud,R,183.0,NOR,25.5,6-4 7-5 6-7(1) 6-3,5.0,R64,198.0,8.0,10.0,169.0,95.0,68.0,37.0,22.0,11.0,13.0,15.0,2.0,134.0,81.0,58.0,29.0,21.0,3.0,8.0,94.0,635.0,8.0,4025.0,2024.0,,,,,,,,,,,,,0.5781,0.7557,0.4953,0.0914,0.6066,0.7655,0.5274,0.1036
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,178.0,105138.0,,,Roberto Bautista Agut,R,183.0,ESP,36.2,132283.0,,,Lorenzo Sonego,R,191.0,ITA,29.1,6-3 3-6 6-3 6-4,5.0,R64,167.0,3.0,4.0,120.0,80.0,59.0,24.0,19.0,10.0,12.0,18.0,4.0,114.0,84.0,57.0,14.0,18.0,4.0,8.0,112.0,555.0,54.0,881.0,2024.0,,,,,,,,,,,,,0.684,0.7147,0.5967,0.0404,0.7231,0.7535,0.5196,0.1052
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,177.0,122330.0,23.0,,Alexander Bublik,R,196.0,KAZ,27.0,209070.0,,,Arthur Cazaux,R,183.0,FRA,21.8,6-4 7-6(1) 6-4,5.0,R64,124.0,19.0,4.0,81.0,52.0,49.0,18.0,16.0,0.0,0.0,7.0,9.0,95.0,53.0,42.0,17.0,16.0,2.0,4.0,23.0,1730.0,98.0,616.0,2024.0,,,,,,,,,,,,,0.6134,0.8313,0.4915,0.2051,0.5391,0.7911,0.4423,0.094
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,176.0,126205.0,12.0,,Tommy Paul,R,185.0,USA,27.1,202261.0,,Q,Otto Virtanen,R,193.0,FIN,23.0,4-6 6-3 5-7 7-5 6-4,5.0,R64,199.0,9.0,2.0,151.0,104.0,82.0,27.0,27.0,8.0,11.0,11.0,5.0,149.0,82.0,58.0,41.0,26.0,7.0,11.0,13.0,3100.0,147.0,401.0,2024.0,,,,,,,,,,,,,0.6177,0.7615,0.5594,0.0888,0.6169,0.7518,0.586,0.1572
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,175.0,200005.0,16.0,,Ugo Humbert,L,188.0,FRA,26.0,122298.0,,,Botic Van De Zandschulp,R,191.0,NED,28.7,7-6(9) 6-1 6-3,5.0,R64,134.0,5.0,1.0,84.0,51.0,42.0,21.0,14.0,2.0,3.0,12.0,6.0,103.0,57.0,41.0,18.0,14.0,8.0,13.0,16.0,2300.0,97.0,618.0,2024.0,,,,,,,,,,,,,0.6082,0.7325,0.5301,0.0986,0.6057,0.7201,0.4252,0.0904
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,174.0,206909.0,,,Brandon Nakashima,R,188.0,USA,22.9,111442.0,,,Jordan Thompson,R,183.0,AUS,30.1,6-3 6-2 6-2,5.0,R64,97.0,9.0,1.0,69.0,50.0,41.0,12.0,13.0,2.0,2.0,4.0,3.0,78.0,44.0,29.0,12.0,12.0,7.0,12.0,65.0,825.0,40.0,1206.0,2024.0,,,,,,,,,,,,,0.6634,0.747,0.5346,0.1017,0.6074,0.7661,0.593,0.1108
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,173.0,126207.0,29.0,,Frances Tiafoe,R,188.0,USA,26.4,106432.0,,,Borna Coric,R,188.0,CRO,27.6,7-6(5) 6-1 6-3,5.0,R64,120.0,10.0,3.0,85.0,52.0,45.0,16.0,14.0,3.0,4.0,6.0,1.0,91.0,58.0,34.0,19.0,14.0,5.0,10.0,29.0,1355.0,89.0,664.0,2024.0,,,,,,,,,,,,,0.5917,0.7764,0.5326,0.1017,0.6202,0.7165,0.4549,0.0831
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,172.0,207989.0,3.0,,Carlos Alcaraz,R,183.0,ESP,21.1,126846.0,,,Aleksandar Vukic,R,188.0,AUS,28.2,7-6(5) 6-2 6-2,5.0,R64,108.0,11.0,2.0,74.0,49.0,40.0,14.0,14.0,1.0,3.0,2.0,2.0,87.0,54.0,32.0,14.0,14.0,5.0,11.0,3.0,8130.0,69.0,789.0,2024.0,,,,,,,,,,,,,0.6391,0.7629,0.5529,0.0706,0.6231,0.7618,0.5528,0.1113
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,171.0,106421.0,5.0,,Daniil Medvedev,R,198.0,RUS,28.3,124186.0,,,Alexandre Muller,R,183.0,FRA,27.4,6-7(3) 7-6(4) 6-4 7-5,5.0,R64,208.0,14.0,5.0,148.0,95.0,71.0,32.0,23.0,5.0,7.0,5.0,4.0,162.0,104.0,74.0,26.0,23.0,8.0,12.0,5.0,6445.0,102.0,601.0,2024.0,,,,,,,,,,,,,0.6594,0.7567,0.5121,0.1217,0.6809,0.6265,0.5526,0.0423
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,170.0,105526.0,,,Jan Lennard Struff,R,193.0,GER,34.1,111190.0,32.0,,Zhizhen Zhang,R,193.0,CHN,27.7,5-7 6-3 7-6(1) 7-6(8),5.0,R64,173.0,20.0,9.0,137.0,74.0,62.0,39.0,23.0,4.0,6.0,19.0,2.0,146.0,96.0,79.0,22.0,22.0,8.0,10.0,41.0,1135.0,38.0,1221.0,2024.0,,,,,,,,,,,,,0.5938,0.8233,0.5819,0.1829,0.6563,0.7197,0.4789,0.1139
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,169.0,104792.0,,,Gael Monfils,R,193.0,FRA,37.8,104527.0,,,Stan Wawrinka,R,183.0,SUI,39.2,7-6(5) 6-4 7-6(3),5.0,R64,123.0,13.0,1.0,100.0,62.0,51.0,29.0,17.0,2.0,2.0,5.0,0.0,105.0,60.0,44.0,30.0,17.0,9.0,10.0,33.0,1260.0,95.0,633.0,2024.0,,,,,,,,,,,,,0.5944,0.8153,0.5376,0.1561,0.5543,0.774,0.5525,0.0657
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,168.0,105777.0,10.0,,Grigor Dimitrov,R,191.0,BUL,33.1,209992.0,,,Juncheng Shang,L,180.0,CHN,19.4,5-7 6-7(4) 6-4 6-2 6-4,5.0,R64,206.0,19.0,9.0,138.0,83.0,74.0,29.0,26.0,1.0,3.0,18.0,9.0,164.0,98.0,73.0,36.0,26.0,7.0,12.0,10.0,3750.0,91.0,658.0,2024.0,,,,,,,,,,,,,0.5853,0.8277,0.5293,0.1412,0.6541,0.7654,0.6046,0.1069
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,167.0,210097.0,14.0,,Ben Shelton,L,193.0,USA,21.7,144750.0,,Q,Lloyd Harris,R,193.0,RSA,27.3,4-6 7-6(5) 6-7(5) 6-3 7-6(7),5.0,R64,229.0,14.0,6.0,182.0,124.0,101.0,32.0,28.0,6.0,7.0,31.0,3.0,171.0,125.0,98.0,26.0,27.0,4.0,5.0,14.0,2595.0,118.0,541.0,2024.0,,,,,,,,,,,,,0.6766,0.7698,0.5077,0.1396,0.6661,0.8031,0.5614,0.199
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,166.0,133430.0,,,Denis Shapovalov,L,185.0,CAN,25.2,127157.0,,,Daniel Altmaier,R,188.0,GER,25.8,7-6(3) 6-3 1-6 6-7(3) 6-4,5.0,R64,209.0,9.0,16.0,149.0,86.0,68.0,32.0,25.0,4.0,8.0,5.0,2.0,148.0,85.0,68.0,35.0,25.0,5.0,9.0,121.0,530.0,80.0,731.0,2024.0,,,,,,,,,,,,,0.5825,0.7914,0.5273,0.0885,0.6084,0.6978,0.478,0.0778
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,165.0,200175.0,,,Miomir Kecmanovic,R,183.0,SRB,24.8,134868.0,27.0,,Tallon Griekspoor,R,188.0,NED,27.9,4-6 7-6(7) 1-6 6-2 6-3,5.0,R64,171.0,15.0,2.0,138.0,85.0,65.0,31.0,23.0,8.0,12.0,17.0,9.0,157.0,91.0,65.0,32.0,23.0,12.0,16.0,52.0,925.0,27.0,1470.0,2024.0,,,,,,,,,,,,,0.6385,0.7138,0.5053,0.0694,0.6283,0.7564,0.5524,0.114
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,164.0,206173.0,1.0,,Jannik Sinner,R,191.0,ITA,22.8,126610.0,,,Matteo Berrettini,R,196.0,ITA,28.2,7-6(3) 7-6(4) 2-6 7-6(4),5.0,R64,222.0,10.0,2.0,135.0,88.0,72.0,25.0,22.0,3.0,7.0,28.0,3.0,162.0,116.0,82.0,21.0,22.0,8.0,10.0,1.0,9890.0,59.0,845.0,2024.0,,,,,,,,,,,,,0.6163,0.8038,0.5889,0.1194,0.6675,0.7843,0.5388,0.1437
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,163.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,37.1,200240.0,,Q,Vit Kopriva,R,178.0,CZE,27.0,6-1 6-2 6-2,5.0,R128,118.0,10.0,2.0,58.0,39.0,35.0,13.0,12.0,0.0,0.0,4.0,5.0,96.0,53.0,29.0,17.0,11.0,9.0,15.0,2.0,8360.0,123.0,523.0,2024.0,,,,,,,,,,,,,0.6585,0.7922,0.5938,0.1021,0.5521,0.5472,0.3953,0.0417
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,162.0,207985.0,,WC,Jacob Fearnley,R,183.0,GBR,22.9,208279.0,,Q,Alejandro Moro Canas,R,183.0,ESP,23.5,7-5 6-4 7-6(12),5.0,R128,167.0,8.0,4.0,107.0,67.0,57.0,24.0,17.0,3.0,3.0,1.0,1.0,129.0,91.0,65.0,19.0,17.0,8.0,10.0,277.0,206.0,188.0,321.0,2024.0,,,,,,,,,,,,,0.613,0.7687,0.5897,0.07,0.7054,0.7143,0.5,0.0078
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,161.0,200615.0,,,Alexei Popyrin,R,196.0,AUS,24.9,106329.0,,,Thiago Monteiro,L,183.0,BRA,30.0,6-4 6-7(8) 6-3 6-4,5.0,R128,157.0,24.0,0.0,104.0,83.0,75.0,14.0,21.0,0.0,0.0,7.0,4.0,117.0,70.0,52.0,31.0,20.0,1.0,4.0,47.0,981.0,86.0,690.0,2024.0,,,,,,,,,,,,,0.6706,0.7691,0.5008,0.126,0.5581,0.7594,0.6724,0.0746
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,186.0,111815.0,,,Cameron Norrie,L,188.0,GBR,28.8,207733.0,28.0,,Jack Draper,L,193.0,GBR,22.5,7-6(3) 6-4 7-6(6),5.0,R64,154.0,10.0,4.0,119.0,78.0,58.0,22.0,17.0,3.0,5.0,18.0,7.0,112.0,68.0,57.0,13.0,17.0,1.0,4.0,42.0,1070.0,28.0,1461.0,2024.0,,,,,,,,,,,,,0.6675,0.754,0.5184,0.0734,0.6321,0.849,0.5411,0.1594
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,187.0,100644.0,4.0,,Alexander Zverev,R,198.0,GER,27.1,106218.0,,,Marcos Giron,R,180.0,USA,30.9,6-2 6-1 6-4,5.0,R64,94.0,12.0,2.0,61.0,41.0,36.0,13.0,12.0,0.0,0.0,1.0,1.0,73.0,41.0,26.0,12.0,13.0,2.0,8.0,4.0,6905.0,46.0,1020.0,2024.0,,,,,,,,,,,,,0.7048,0.8268,0.5889,0.153,0.6024,0.7685,0.516,0.0797
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,188.0,209950.0,,,Arthur Fils,R,185.0,FRA,20.0,128034.0,7.0,,Hubert Hurkacz,R,196.0,POL,27.3,7-6(2) 6-4 2-6 6-6 RET,5.0,R64,210.0,7.0,12.0,152.0,95.0,71.0,27.0,21.0,13.0,17.0,12.0,2.0,136.0,83.0,59.0,35.0,21.0,7.0,10.0,34.0,1250.0,7.0,4235.0,2024.0,,,,,,,,,,,,,0.6046,0.7514,0.5058,0.0822,0.6822,0.8145,0.5482,0.2042
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,189.0,126128.0,,,Roman Safiullin,R,185.0,RUS,26.8,207830.0,,,Tomas Machac,R,183.0,CZE,23.7,6-2 6-4 5-7 6-3,5.0,R64,154.0,8.0,8.0,116.0,77.0,61.0,15.0,20.0,7.0,12.0,3.0,2.0,121.0,77.0,44.0,23.0,19.0,4.0,12.0,44.0,1045.0,39.0,1214.0,2024.0,,,,,,,,,,,,,0.655,0.753,0.5475,0.091,0.6778,0.5867,0.4886,0.0508
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,216.0,207518.0,25.0,,Lorenzo Musetti,R,185.0,ITA,22.3,208659.0,,LL,Giovanni Mpetshi Perricard,R,203.0,FRA,20.9,4-6 6-3 6-3 6-2,5.0,R16,123.0,3.0,0.0,88.0,63.0,50.0,21.0,18.0,0.0,1.0,10.0,8.0,108.0,70.0,47.0,20.0,18.0,10.0,15.0,25.0,1620.0,58.0,853.0,2024.0,,,,,,,,,,,,,0.6501,0.7428,0.5469,0.0612,0.6825,0.8215,0.5071,0.2389
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,215.0,126205.0,12.0,,Tommy Paul,R,185.0,USA,27.1,105138.0,,,Roberto Bautista Agut,R,183.0,ESP,36.2,6-2 7-6(3) 6-2,5.0,R16,122.0,11.0,2.0,88.0,54.0,43.0,21.0,14.0,3.0,4.0,0.0,0.0,88.0,67.0,36.0,13.0,14.0,2.0,7.0,13.0,3100.0,112.0,555.0,2024.0,,,,,,,,,,,,,0.6177,0.7615,0.5594,0.0888,0.684,0.7147,0.5967,0.0404
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,214.0,207989.0,3.0,,Carlos Alcaraz,R,183.0,ESP,21.1,200005.0,16.0,,Ugo Humbert,L,188.0,FRA,26.0,6-3 6-4 1-6 7-5,5.0,R16,180.0,14.0,6.0,135.0,95.0,63.0,17.0,19.0,8.0,13.0,10.0,1.0,103.0,67.0,45.0,17.0,19.0,2.0,8.0,3.0,8130.0,16.0,2300.0,2024.0,,,,,,,,,,,,,0.6391,0.7629,0.5529,0.0706,0.6082,0.7325,0.5301,0.0986
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,213.0,106421.0,5.0,,Daniil Medvedev,R,198.0,RUS,28.3,105777.0,10.0,,Grigor Dimitrov,R,191.0,BUL,33.1,5-3 RET,5.0,R16,40.0,6.0,1.0,23.0,14.0,9.0,6.0,4.0,1.0,2.0,1.0,0.0,25.0,14.0,8.0,4.0,4.0,1.0,3.0,5.0,6445.0,10.0,3750.0,2024.0,,,,,,,,,,,,,0.6594,0.7567,0.5121,0.1217,0.5853,0.8277,0.5293,0.1412
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,212.0,206173.0,1.0,,Jannik Sinner,R,191.0,ITA,22.8,210097.0,14.0,,Ben Shelton,L,193.0,USA,21.7,6-2 6-4 7-6(9),5.0,R16,129.0,7.0,0.0,90.0,63.0,48.0,19.0,15.0,1.0,2.0,15.0,4.0,96.0,69.0,48.0,11.0,15.0,2.0,6.0,1.0,9890.0,14.0,2595.0,2024.0,,,,,,,,,,,,,0.6163,0.8038,0.5889,0.1194,0.6766,0.7698,0.5077,0.1396
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,210.0,208029.0,15.0,,Holger Rune,R,188.0,DEN,21.1,111460.0,,Q,Quentin Halys,R,191.0,FRA,27.6,1-6 6-7(4) 6-4 7-6(4) 6-1,5.0,R32,179.0,16.0,5.0,147.0,94.0,70.0,35.0,24.0,4.0,6.0,29.0,4.0,148.0,89.0,75.0,29.0,24.0,6.0,9.0,15.0,2370.0,220.0,272.0,2024.0,,,,,,,,,,,,,0.6286,0.776,0.5492,0.0959,0.6034,0.833,0.5781,0.1877
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,209.0,200282.0,9.0,,Alex De Minaur,R,183.0,AUS,25.3,106298.0,,Q,Lucas Pouille,R,185.0,FRA,30.3,W/O,5.0,R32,,,,,,,,,,,,,,,,,,,,9.0,3830.0,212.0,284.0,2024.0,,,,,,,,,,,,,0.563,0.7641,0.5454,0.0517,0.632,0.7158,0.5132,0.0751
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,208.0,209950.0,,,Arthur Fils,R,185.0,FRA,20.0,126128.0,,,Roman Safiullin,R,185.0,RUS,26.8,4-6 6-3 1-6 6-4 6-3,5.0,R32,198.0,7.0,5.0,139.0,83.0,64.0,29.0,23.0,8.0,12.0,5.0,1.0,133.0,83.0,57.0,29.0,22.0,9.0,13.0,34.0,1250.0,44.0,1045.0,2024.0,,,,,,,,,,,,,0.6046,0.7514,0.5058,0.0822,0.655,0.753,0.5475,0.091
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,207.0,100644.0,4.0,,Alexander Zverev,R,198.0,GER,27.1,111815.0,,,Cameron Norrie,L,188.0,GBR,28.8,6-4 6-4 7-6(15),5.0,R32,151.0,15.0,2.0,96.0,73.0,66.0,15.0,16.0,0.0,0.0,10.0,1.0,117.0,90.0,64.0,16.0,16.0,6.0,8.0,4.0,6905.0,42.0,1070.0,2024.0,,,,,,,,,,,,,0.7048,0.8268,0.5889,0.153,0.6675,0.754,0.5184,0.0734
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,206.0,126203.0,13.0,,Taylor Fritz,R,196.0,USA,26.6,126214.0,24.0,,Alejandro Tabilo,L,188.0,CHI,27.0,7-6(3) 6-3 7-5,5.0,R32,114.0,20.0,1.0,85.0,61.0,56.0,17.0,17.0,0.0,0.0,8.0,3.0,121.0,81.0,57.0,20.0,16.0,12.0,14.0,12.0,3350.0,19.0,1904.0,2024.0,,,,,,,,,,,,,0.6391,0.8299,0.588,0.1689,0.6478,0.7942,0.4934,0.0993
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,205.0,208659.0,,LL,Giovanni Mpetshi Perricard,R,203.0,FRA,20.9,200325.0,,,Emil Ruusuvuori,R,188.0,FIN,25.2,4-6 6-2 7-6(5) 6-4,5.0,R32,132.0,27.0,5.0,112.0,77.0,65.0,20.0,20.0,0.0,1.0,9.0,3.0,133.0,90.0,62.0,24.0,20.0,8.0,11.0,58.0,853.0,87.0,683.0,2024.0,,,,,,,,,,,,,0.6825,0.8215,0.5071,0.2389,0.6273,0.7424,0.5702,0.0774
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,204.0,207518.0,25.0,,Lorenzo Musetti,R,185.0,ITA,22.3,207681.0,,,Francisco Comesana,R,178.0,ARG,23.7,6-2 6-7(4) 7-6(3) 6-3,5.0,R32,209.0,4.0,1.0,141.0,96.0,69.0,32.0,21.0,4.0,4.0,5.0,3.0,155.0,98.0,67.0,31.0,20.0,13.0,16.0,25.0,1620.0,122.0,529.0,2024.0,,,,,,,,,,,,,0.6501,0.7428,0.5469,0.0612,0.6428,0.7177,0.5513,0.0997
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,160.0,144869.0,30.0,,Tomas Martin Etcheverry,R,196.0,ARG,24.9,208134.0,,,Luca Nardi,R,185.0,ITA,20.9,6-1 6-4 6-2,5.0,R128,107.0,3.0,1.0,68.0,48.0,41.0,12.0,13.0,0.0,0.0,8.0,3.0,68.0,44.0,31.0,6.0,12.0,2.0,7.0,31.0,1290.0,75.0,760.0,2024.0,,,,,,,,,,,,,0.6907,0.7407,0.5214,0.0791,0.6427,0.6576,0.3925,0.0468
