tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_overall_elo,loser_overall_elo,overall_elo_difference,winner_grass_elo,loser_grass_elo,grass_elo_difference,winner_grass_win_pct,loser_grass_win_pct,winner_recent_form,loser_recent_form,higher_overall_elo_won,higher_grass_elo_won,winner_grass_first_serve_in_pct,winner_grass_first_serve_won_pct,winner_grass_second_serve_won_pct,winner_grass_ace_rate,loser_grass_first_serve_in_pct,loser_grass_first_serve_won_pct,loser_grass_second_serve_won_pct,loser_grass_ace_rate
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,190.0,216146.0,18.0,,Marta Kostyuk,R,175.0,UKR,22.0,201611.0,,,Daria Saville,R,166.0,AUS,30.3,4-6 7-6(2) 6-4,3.0,R64,190.0,4.0,15.0,123.0,77.0,52.0,12.0,16.0,8.0,16.0,0.0,9.0,117.0,71.0,41.0,18.0,16.0,13.0,21.0,19.0,2240.0,82.0,830.0,2024.0,,,,,,,,,,,,,0.6284,0.6785,0.4228,0.036,0.6546,0.5805,0.4306,0.0272
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,183.0,206289.0,9.0,,Maria Sakkari,R,172.0,GRE,28.9,201551.0,,,Arantxa Rus,L,180.0,NED,33.5,7-5 6-3,3.0,R64,89.0,5.0,2.0,66.0,36.0,30.0,18.0,11.0,2.0,2.0,5.0,3.0,57.0,41.0,29.0,6.0,10.0,1.0,3.0,9.0,3805.0,56.0,1054.0,2024.0,,,,,,,,,,,,,0.5935,0.6987,0.4694,0.0548,0.6925,0.642,0.4135,0.0531
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,188.0,211148.0,7.0,,Jasmine Paolini,R,160.0,ITA,28.4,213889.0,,,Greet Minnen,R,,BEL,26.8,7-6(5) 6-2,3.0,R64,92.0,0.0,2.0,58.0,37.0,22.0,11.0,10.0,4.0,8.0,0.0,1.0,84.0,55.0,28.0,11.0,10.0,6.0,12.0,7.0,4228.0,80.0,848.0,2024.0,,,,,,,,,,,,,0.6643,0.6557,0.5133,0.0197,0.6502,0.6007,0.4325,0.0466
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,187.0,202499.0,,,Donna Vekic,R,179.0,CRO,28.0,222965.0,,LL,Erika Andreeva,R,,RUS,20.0,6-2 6-3,3.0,R64,92.0,2.0,3.0,44.0,24.0,20.0,10.0,8.0,0.0,1.0,1.0,5.0,81.0,43.0,22.0,17.0,9.0,10.0,15.0,37.0,1488.0,101.0,729.0,2024.0,,,,,,,,,,,,,0.5892,0.7528,0.4664,0.0672,0.5812,0.6141,0.5094,0.0378
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,186.0,215035.0,28.0,,Dayana Yastremska,R,175.0,UKR,24.1,219875.0,,,Varvara Gracheva,R,,FRA,23.9,3-6 6-4 7-6(5),3.0,R64,155.0,6.0,4.0,123.0,74.0,42.0,27.0,15.0,8.0,14.0,4.0,7.0,110.0,71.0,48.0,15.0,16.0,7.0,13.0,27.0,1760.0,70.0,920.0,2024.0,,,,,,,,,,,,,0.5461,0.6476,0.5371,0.0441,0.6171,0.6967,0.4749,0.0311
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,185.0,211651.0,,,Paula Badosa,R,180.0,ESP,26.6,259104.0,,,Brenda Fruhvirtova,R,,CZE,17.2,6-4 6-2,3.0,R64,80.0,7.0,6.0,57.0,35.0,26.0,7.0,9.0,4.0,7.0,0.0,7.0,53.0,34.0,15.0,7.0,9.0,1.0,7.0,93.0,770.0,88.0,801.0,2024.0,,,,,,,,,,,,,0.5373,0.7308,0.4406,0.0765,0.5912,0.5225,0.3842,0.0
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,184.0,214082.0,14.0,,Daria Kasatkina,R,170.0,RUS,27.1,213908.0,,WC,Yuriko Miyazaki,R,165.0,GBR,28.6,6-0 6-0,3.0,R64,50.0,2.0,1.0,33.0,20.0,17.0,9.0,6.0,0.0,0.0,0.0,5.0,39.0,22.0,10.0,2.0,6.0,4.0,10.0,12.0,3283.0,148.0,512.0,2024.0,,,,,,,,,,,,,0.6983,0.6493,0.4554,0.0269,0.5702,0.5866,0.3816,0.0145
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,182.0,221054.0,,WC,Emma Raducanu,R,175.0,GBR,21.6,210722.0,,,Elise Mertens,R,179.0,BEL,28.6,6-1 6-2,3.0,R64,75.0,3.0,1.0,49.0,36.0,27.0,8.0,8.0,2.0,2.0,1.0,1.0,47.0,27.0,14.0,10.0,7.0,9.0,13.0,135.0,559.0,33.0,1629.0,2024.0,,,,,,,,,,,,,0.6699,0.6558,0.5097,0.0644,0.5324,0.6967,0.4891,0.0715
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,181.0,202684.0,,,Lin Zhu,R,173.0,CHN,30.4,201499.0,25.0,,Anastasia Pavlyuchenkova,R,177.0,RUS,32.9,6-4 6-3,3.0,R64,84.0,3.0,0.0,56.0,36.0,21.0,16.0,9.0,1.0,2.0,3.0,2.0,70.0,48.0,29.0,9.0,10.0,4.0,8.0,61.0,997.0,28.0,1756.0,2024.0,,,,,,,,,,,,,0.6758,0.63,0.5385,0.0197,0.6745,0.6798,0.511,0.033
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,180.0,215138.0,,Q,Lulu Sun,L,,NZL,23.2,263857.0,,Q,Yuliia Starodubtseva,R,,UKR,24.3,4-6 6-3 6-2,3.0,R64,133.0,4.0,2.0,81.0,52.0,35.0,18.0,14.0,6.0,8.0,4.0,0.0,114.0,76.0,44.0,19.0,13.0,16.0,20.0,123.0,616.0,153.0,490.0,2024.0,,,,,,,,,,,,,0.5856,0.7144,0.5215,0.066,0.739,0.6616,0.45,0.0364
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,179.0,216133.0,,,Xin Yu Wang,R,182.0,CHN,22.7,202468.0,5.0,,Jessica Pegula,R,170.0,USA,30.3,6-4 6-7(7) 6-1,3.0,R64,130.0,4.0,4.0,101.0,57.0,39.0,21.0,15.0,4.0,7.0,7.0,3.0,106.0,77.0,44.0,11.0,14.0,8.0,14.0,42.0,1411.0,5.0,5025.0,2024.0,,,,,,,,,,,,,0.5541,0.6028,0.4551,0.0283,0.621,0.684,0.5589,0.038
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,201.0,214939.0,17.0,,Anna Kalinskaya,R,175.0,RUS,25.5,214643.0,15.0,,Liudmila Samsonova,R,180.0,RUS,25.6,7-6(4) 6-2,3.0,R32,97.0,0.0,1.0,59.0,42.0,32.0,11.0,10.0,1.0,2.0,8.0,4.0,67.0,24.0,22.0,17.0,10.0,5.0,8.0,18.0,2310.0,15.0,2830.0,2024.0,,,,,,,,,,,,,0.6629,0.6644,0.5279,0.0222,0.5333,0.7302,0.4873,0.0843
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,189.0,215370.0,,,Bianca Andreescu,R,170.0,CAN,24.0,222328.0,26.0,,Linda Noskova,R,,CZE,19.6,6-3 7-6(5),3.0,R64,93.0,1.0,2.0,76.0,54.0,40.0,15.0,11.0,5.0,5.0,4.0,4.0,76.0,51.0,38.0,10.0,10.0,5.0,6.0,176.0,426.0,26.0,1775.0,2024.0,,,,,,,,,,,,,0.6578,0.6671,0.5101,0.0334,0.6462,0.7003,0.446,0.0609
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,202.0,202494.0,21.0,,Elina Svitolina,R,174.0,UKR,29.8,202460.0,10.0,,Ons Jabeur,R,167.0,TUN,29.8,6-1 7-6(4),3.0,R32,80.0,1.0,0.0,66.0,38.0,29.0,19.0,10.0,2.0,2.0,2.0,2.0,57.0,31.0,21.0,15.0,9.0,1.0,3.0,21.0,2100.0,10.0,3801.0,2024.0,,,,,,,,,,,,,0.6454,0.6765,0.4801,0.0573,0.5465,0.7692,0.5333,0.068
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,219.0,215613.0,19.0,,Emma Navarro,R,,USA,23.1,221103.0,2.0,,Coco Gauff,R,175.0,USA,20.3,6-4 6-3,3.0,R16,74.0,0.0,0.0,61.0,44.0,29.0,10.0,10.0,2.0,3.0,3.0,3.0,54.0,30.0,21.0,11.0,9.0,1.0,4.0,17.0,2323.0,2.0,7943.0,2024.0,,,,,,,,,,,,,0.6806,0.6715,0.5071,0.0186,0.5979,0.755,0.5275,0.0846
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,204.0,215138.0,,Q,Lulu Sun,L,,NZL,23.2,202684.0,,,Lin Zhu,R,173.0,CHN,30.4,7-6(4) 7-6(6),3.0,R32,121.0,10.0,8.0,101.0,59.0,44.0,19.0,12.0,15.0,18.0,2.0,1.0,84.0,61.0,40.0,13.0,12.0,2.0,5.0,123.0,616.0,61.0,997.0,2024.0,,,,,,,,,,,,,0.5856,0.7144,0.5215,0.066,0.6758,0.63,0.5385,0.0197
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,178.0,211279.0,,,Harriet Dart,R,175.0,GBR,27.9,211107.0,32.0,,Katie Boulter,R,180.0,GBR,27.9,4-6 6-1 7-6(8),3.0,R64,177.0,0.0,12.0,114.0,62.0,49.0,23.0,15.0,7.0,10.0,1.0,9.0,121.0,68.0,44.0,25.0,14.0,14.0,18.0,100.0,739.0,29.0,1748.0,2024.0,,,,,,,,,,,,,0.5651,0.6772,0.4683,0.0397,0.6013,0.6883,0.452,0.065
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,226.0,206252.0,31.0,,Barbora Krejcikova,R,178.0,CZE,28.5,211148.0,7.0,,Jasmine Paolini,R,160.0,ITA,28.4,6-2 2-6 6-4,3.0,F,116.0,6.0,4.0,76.0,55.0,40.0,12.0,13.0,4.0,6.0,3.0,1.0,85.0,62.0,38.0,14.0,13.0,4.0,7.0,32.0,1643.0,7.0,4228.0,2024.0,,,,,,,,,,,,,0.6443,0.7379,0.5092,0.0642,0.6643,0.6557,0.5133,0.0197
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,225.0,211148.0,7.0,,Jasmine Paolini,R,160.0,ITA,28.4,202499.0,,,Donna Vekic,R,179.0,CRO,28.0,2-6 6-4 7-6(8),3.0,SF,171.0,5.0,3.0,129.0,81.0,54.0,22.0,15.0,10.0,14.0,7.0,7.0,100.0,58.0,48.0,17.0,15.0,4.0,7.0,7.0,4228.0,37.0,1488.0,2024.0,,,,,,,,,,,,,0.6643,0.6557,0.5133,0.0197,0.5892,0.7528,0.4664,0.0672
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,224.0,206252.0,31.0,,Barbora Krejcikova,R,178.0,CZE,28.5,214981.0,4.0,,Elena Rybakina,R,184.0,KAZ,25.0,3-6 6-3 6-4,3.0,SF,127.0,4.0,6.0,102.0,73.0,49.0,11.0,14.0,6.0,9.0,8.0,3.0,85.0,49.0,33.0,17.0,14.0,2.0,6.0,32.0,1643.0,4.0,6026.0,2024.0,,,,,,,,,,,,,0.6443,0.7379,0.5092,0.0642,0.5992,0.815,0.4757,0.1333
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,223.0,211148.0,7.0,,Jasmine Paolini,R,160.0,ITA,28.4,215613.0,19.0,,Emma Navarro,R,,USA,23.1,6-2 6-1,3.0,QF,58.0,1.0,1.0,51.0,34.0,23.0,10.0,8.0,3.0,4.0,1.0,2.0,34.0,24.0,13.0,0.0,7.0,1.0,6.0,7.0,4228.0,17.0,2323.0,2024.0,,,,,,,,,,,,,0.6643,0.6557,0.5133,0.0197,0.6806,0.6715,0.5071,0.0186
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,222.0,202499.0,,,Donna Vekic,R,179.0,CRO,28.0,215138.0,,Q,Lulu Sun,L,,NZL,23.2,5-7 6-4 6-1,3.0,QF,128.0,11.0,6.0,84.0,45.0,39.0,23.0,15.0,4.0,6.0,10.0,3.0,97.0,58.0,39.0,18.0,14.0,4.0,8.0,37.0,1488.0,123.0,616.0,2024.0,,,,,,,,,,,,,0.5892,0.7528,0.4664,0.0672,0.5856,0.7144,0.5215,0.066
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,221.0,214981.0,4.0,,Elena Rybakina,R,184.0,KAZ,25.0,202494.0,21.0,,Elina Svitolina,R,174.0,UKR,29.8,6-3 6-2,3.0,QF,61.0,7.0,1.0,51.0,26.0,22.0,13.0,9.0,1.0,2.0,1.0,4.0,47.0,33.0,20.0,4.0,8.0,2.0,6.0,4.0,6026.0,21.0,2100.0,2024.0,,,,,,,,,,,,,0.5992,0.815,0.4757,0.1333,0.6454,0.6765,0.4801,0.0573
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,220.0,206252.0,31.0,,Barbora Krejcikova,R,178.0,CZE,28.5,211533.0,13.0,,Jelena Ostapenko,R,177.0,LAT,27.0,6-4 7-6(4),3.0,QF,100.0,5.0,3.0,64.0,47.0,38.0,8.0,11.0,3.0,5.0,4.0,5.0,84.0,41.0,25.0,24.0,11.0,5.0,8.0,32.0,1643.0,14.0,3058.0,2024.0,,,,,,,,,,,,,0.6443,0.7379,0.5092,0.0642,0.575,0.7188,0.4748,0.0808
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,218.0,211148.0,7.0,,Jasmine Paolini,R,160.0,ITA,28.4,201619.0,12.0,,Madison Keys,R,178.0,USA,29.3,6-3 6-7(6) 5-5 RET,3.0,R16,143.0,2.0,2.0,102.0,73.0,44.0,13.0,16.0,2.0,8.0,6.0,3.0,117.0,82.0,45.0,15.0,15.0,6.0,13.0,7.0,4228.0,13.0,3068.0,2024.0,,,,,,,,,,,,,0.6643,0.6557,0.5133,0.0197,0.7262,0.7262,0.4418,0.0645
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,217.0,202499.0,,,Donna Vekic,R,179.0,CRO,28.0,211651.0,,,Paula Badosa,R,180.0,ESP,26.6,6-2 1-6 6-4,3.0,R16,98.0,4.0,5.0,76.0,46.0,34.0,12.0,12.0,2.0,5.0,6.0,4.0,68.0,38.0,28.0,12.0,13.0,0.0,4.0,37.0,1488.0,93.0,770.0,2024.0,,,,,,,,,,,,,0.5892,0.7528,0.4664,0.0672,0.5373,0.7308,0.4406,0.0765
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,203.0,216133.0,,,Xin Yu Wang,R,182.0,CHN,22.7,211279.0,,,Harriet Dart,R,175.0,GBR,27.9,2-6 7-5 6-3,3.0,R32,138.0,0.0,5.0,99.0,63.0,37.0,15.0,14.0,7.0,13.0,2.0,7.0,110.0,69.0,42.0,16.0,15.0,10.0,17.0,42.0,1411.0,100.0,739.0,2024.0,,,,,,,,,,,,,0.5541,0.6028,0.4551,0.0283,0.5651,0.6772,0.4683,0.0397
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,216.0,215138.0,,Q,Lulu Sun,L,,NZL,23.2,221054.0,,WC,Emma Raducanu,R,175.0,GBR,21.6,6-2 5-7 6-2,3.0,R16,170.0,4.0,4.0,100.0,54.0,37.0,25.0,14.0,5.0,7.0,4.0,2.0,106.0,72.0,39.0,18.0,14.0,8.0,13.0,123.0,616.0,135.0,559.0,2024.0,,,,,,,,,,,,,0.5856,0.7144,0.5215,0.066,0.6699,0.6558,0.5097,0.0644
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,214.0,214981.0,4.0,,Elena Rybakina,R,184.0,KAZ,25.0,214939.0,17.0,,Anna Kalinskaya,R,175.0,RUS,25.5,6-3 3-0 RET,3.0,R16,53.0,7.0,1.0,41.0,21.0,18.0,7.0,6.0,2.0,3.0,1.0,1.0,35.0,25.0,10.0,4.0,6.0,2.0,6.0,4.0,6026.0,18.0,2310.0,2024.0,,,,,,,,,,,,,0.5992,0.815,0.4757,0.1333,0.6629,0.6644,0.5279,0.0222
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,213.0,206252.0,31.0,,Barbora Krejcikova,R,178.0,CZE,28.5,203389.0,11.0,,Danielle Collins,R,178.0,USA,30.5,7-5 6-3,3.0,R16,102.0,5.0,5.0,60.0,40.0,32.0,10.0,10.0,2.0,3.0,6.0,7.0,75.0,45.0,31.0,9.0,11.0,11.0,15.0,32.0,1643.0,11.0,3532.0,2024.0,,,,,,,,,,,,,0.6443,0.7379,0.5092,0.0642,0.5746,0.6808,0.4861,0.0566
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,212.0,211533.0,13.0,,Jelena Ostapenko,R,177.0,LAT,27.0,201709.0,,,Yulia Putintseva,R,163.0,KAZ,29.4,6-2 6-3,3.0,R16,68.0,3.0,4.0,68.0,41.0,26.0,13.0,9.0,2.0,4.0,0.0,2.0,44.0,24.0,13.0,7.0,8.0,1.0,6.0,14.0,3058.0,35.0,1553.0,2024.0,,,,,,,,,,,,,0.575,0.7188,0.4748,0.0808,0.6883,0.6834,0.5293,0.0343
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,211.0,221103.0,2.0,,Coco Gauff,R,175.0,USA,20.3,222661.0,,Q,Sonay Kartal,R,,GBR,22.6,6-4 6-0,3.0,R32,62.0,5.0,4.0,42.0,29.0,26.0,5.0,8.0,1.0,2.0,1.0,2.0,48.0,33.0,16.0,5.0,8.0,4.0,9.0,2.0,7943.0,298.0,228.0,2024.0,,,,,,,,,,,,,0.5979,0.755,0.5275,0.0846,0.6725,0.6235,0.4431,0.0176
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,210.0,215613.0,19.0,,Emma Navarro,R,,USA,23.1,223670.0,,,Diana Shnaider,L,,RUS,20.2,2-6 6-3 6-4,3.0,R32,116.0,1.0,4.0,83.0,57.0,36.0,10.0,14.0,6.0,12.0,2.0,2.0,78.0,43.0,25.0,17.0,13.0,4.0,10.0,17.0,2323.0,30.0,1690.0,2024.0,,,,,,,,,,,,,0.6806,0.6715,0.5071,0.0186,0.6593,0.6433,0.5686,0.0431
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,209.0,201619.0,12.0,,Madison Keys,R,178.0,USA,29.3,216146.0,18.0,,Marta Kostyuk,R,175.0,UKR,22.0,6-4 6-3,3.0,R32,81.0,2.0,1.0,55.0,45.0,32.0,6.0,9.0,0.0,1.0,1.0,2.0,66.0,46.0,26.0,10.0,10.0,7.0,11.0,13.0,3068.0,19.0,2240.0,2024.0,,,,,,,,,,,,,0.7262,0.7262,0.4418,0.0645,0.6284,0.6785,0.4228,0.036
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,208.0,211148.0,7.0,,Jasmine Paolini,R,160.0,ITA,28.4,215370.0,,,Bianca Andreescu,R,170.0,CAN,24.0,7-6(4) 6-1,3.0,R32,91.0,1.0,1.0,56.0,37.0,28.0,10.0,9.0,0.0,1.0,3.0,1.0,65.0,45.0,26.0,8.0,10.0,3.0,7.0,7.0,4228.0,176.0,426.0,2024.0,,,,,,,,,,,,,0.6643,0.6557,0.5133,0.0197,0.6578,0.6671,0.5101,0.0334
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,207.0,202499.0,,,Donna Vekic,R,179.0,CRO,28.0,215035.0,28.0,,Dayana Yastremska,R,175.0,UKR,24.1,7-6(4) 6-7(3) 6-1,3.0,R32,174.0,5.0,8.0,107.0,62.0,50.0,20.0,15.0,4.0,6.0,5.0,4.0,131.0,70.0,41.0,34.0,16.0,12.0,17.0,37.0,1488.0,27.0,1760.0,2024.0,,,,,,,,,,,,,0.5892,0.7528,0.4664,0.0672,0.5461,0.6476,0.5371,0.0441
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,206.0,211651.0,,,Paula Badosa,R,180.0,ESP,26.6,214082.0,14.0,,Daria Kasatkina,R,170.0,RUS,27.1,7-6(6) 4-6 6-4,3.0,R32,171.0,8.0,4.0,127.0,73.0,43.0,31.0,16.0,8.0,12.0,3.0,6.0,114.0,74.0,45.0,21.0,16.0,14.0,18.0,93.0,770.0,12.0,3283.0,2024.0,,,,,,,,,,,,,0.5373,0.7308,0.4406,0.0765,0.6983,0.6493,0.4554,0.0269
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,205.0,221054.0,,WC,Emma Raducanu,R,175.0,GBR,21.6,206289.0,9.0,,Maria Sakkari,R,172.0,GRE,28.9,6-2 6-3,3.0,R32,92.0,3.0,3.0,59.0,45.0,32.0,7.0,8.0,7.0,7.0,2.0,6.0,62.0,36.0,25.0,7.0,9.0,5.0,9.0,135.0,559.0,9.0,3805.0,2024.0,,,,,,,,,,,,,0.6699,0.6558,0.5097,0.0644,0.5935,0.6987,0.4694,0.0548
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,215.0,202494.0,21.0,,Elina Svitolina,R,174.0,UKR,29.8,216133.0,,,Xin Yu Wang,R,182.0,CHN,22.7,6-2 6-1,3.0,R16,55.0,8.0,1.0,47.0,30.0,24.0,11.0,8.0,3.0,3.0,3.0,4.0,50.0,31.0,17.0,6.0,7.0,2.0,6.0,21.0,2100.0,42.0,1411.0,2024.0,,,,,,,,,,,,,0.6454,0.6765,0.4801,0.0573,0.5541,0.6028,0.4551,0.0283
